scheme_name,eligibility_text,question,actual_data,normal_question,abc,A,B,C,D
Mukhyamantri Anusuchit Jati / Anusuchit Janjati Udyami Yojana,Belong to SC or ST category,"Do you belong to the following category: SC, ST?",Belong to_Catogory(SC or ST),Belong to SC or ST category?,,What is your social category?,SC / ST / OBC / BC / EBC / General,-,-
Mukhyamantri Anusuchit Jati / Anusuchit Janjati Udyami Yojana,"Education: 10+2, ITI, or Polytechnic Diploma","Have you passed at least one of the following qualifications: 10+2, Iti, Polytechnic Diploma?","Educational qualification: (12th, ITI, or Polytechnic Diploma, other)","Education: 10+2, ITI, or Polytechnic Diploma?",,What is your current / highest education level?,"class- 6,7,8,9,10,11,12,graduated , ITI, Polytechnic Diploma,other(specify)",-,-
Mukhyamantri Anusuchit Jati Evam Anusuchit Janjati Chhatrawas Anudan Yojana,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Anusuchit Jati Evam Anusuchit Janjati Chhatrawas Anudan Yojana,Studying in recognized course/institution,Are you studying in recognized course/institution?,Enrolled in School / Institution/ course (recognized course/institution),Studying in recognized course/institution?,,occupation,student,Where is the currently enrolled / studying?,"Anganwadi centre (pre-school),Government school,Government-recognized private school,Government secondary school,Government-recognized secondary school,Government college / institute,Government-recognized college / institute,other"
Mukhyamantri Anusuchit Jati Evam Anusuchit Janjati Chhatrawas Anudan Yojana,Belong to SC or ST category,"Do you belong to the following category: SC, ST?",Belong to_Catogory(SC or ST),Belong to SC or ST category?,,What is your social category?,SC / ST / OBC / BC / EBC / General,-,-
Mukhyamantri Anusuchit Jati Evam Anusuchit Janjati Chhatrawas Anudan Yojana,Enrolled and residing in hostels operated by SC/ST Welfare Dept,"Do you belong to the following category: ST, SC, ST?",Reside in- (in hostels operated by SC/ST Welfare Dept),Enrolled and residing in hostels operated by SC/ST Welfare Dept?,,Where do you currently live?,"Government hostel,Welfare hostel (SC/ST / OBC–EBC / Minority department),Private hostel / rented accommodation,Own house,Other",-,-
Mukhyamantri Anusuchit Jati Ewam Anusuchit Janjati Civil Sewa Protsahan Yojana,Permanent resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Anusuchit Jati Ewam Anusuchit Janjati Civil Sewa Protsahan Yojana,Passed preliminary examination of BPSC or UPSC,Have you completed the required educational qualification (Passed preliminary examination of BPSC or UPSC)?,"Educational qualification: (Passed preliminary examination of UPSC, BPSC)",Passed preliminary examination of BPSC or UPSC?,,What is your current / highest education level?,"Passed UPSC preliminary,Passed BPSC preliminary,Passed other competitive exam preliminary,None",-,-
Mukhyamantri Anusuchit Jati Ewam Anusuchit Janjati Civil Sewa Protsahan Yojana,Benefit available only once,Are you benefit available only once?,Other,Benefit available only once?,,,-,-,-
Mukhyamantri Anusuchit Jati Ewam Anusuchit Janjati Civil Sewa Protsahan Yojana,Not received same incentive from other sources,Are you not received same incentive from other sources?,other,Not received same incentive from other sources?,,,-,-,-
Mukhyamantri Anusuchit Jati Ewam Anusuchit Janjati Civil Sewa Protsahan Yojana,Not employed in Government/PSU,Does the following apply to you: Not employed in Government/PSU?,occupation_Employment - Governement/PSU or other,Not employed in Government/PSU?,,occupation,employment ,"Government / PSU employee,Semi-government employee,Private sector employee,Self-employed, retired government officer)",-
Mukhyamantri Anusuchit Jati Ewam Anusuchit Janjati Civil Sewa Protsahan Yojana,Belong to Scheduled Caste (SC) or Scheduled Tribe (ST) category,"Do you belong to the following category: SC, ST, SC, SC, ST?",Belong to_Catogory(SC or ST),Belong to Scheduled Caste (SC) or Scheduled Tribe (ST) category?,,What is your social category?,SC / ST / OBC / BC / EBC / General,-,-
Mukhyamantri Ati Pichhada Varg Udyami Yojana,Permanent resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Ati Pichhada Varg Udyami Yojana,"Passed 10+2, Intermediate, ITI, or Polytechnic Diploma","Have you passed at least one of the following qualifications: 10+2, Intermediate, Iti, Polytechnic Diploma?","Educational qualification: (12th, ITI, or Polytechnic Diploma, other)","Passed 10+2, Intermediate, ITI, or Polytechnic Diploma?",,What is your current / highest education level?,"class- 6,7,8,9,10,11,12,graduated , ITI, Polytechnic Diploma,other(specify)",-,-
Mukhyamantri Ati Pichhada Varg Udyami Yojana,Business unit must be a proprietorship or partnership firm,Are you business unit must be a proprietorship or partnership firm?,Occupation - Business - proprietorship or partnership,Business unit must be a proprietorship or partnership firm?,,occupation,Business,"Business type - Proprietorship, Partnership",-
Mukhyamantri Ati Pichhada Varg Udyami Yojana,Belong to Extremely Backward Classes (EBC),Do you belong to the following category: EBC?,Belong to_Extremely Backward Class (EBC),Belong to Extremely Backward Classes (EBC)?,,What is your social category?,SC / ST / OBC / BC / EBC / General,-,-
Mukhyamantri Ati Pichhada Varg Udyami Yojana,Aged between 18 and 50 years,Is your age between 18 and 50 years?,Age,What is your age?,,What is your age?,-,-,-
Mukhyamantri Atyant Pichhda Varg Medhavriti Yojana,Permanent resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Atyant Pichhda Varg Medhavriti Yojana,Passed 10th class (Matric) in first division from BSEB Patna,Have you completed the required educational qualification (Passed 10th class (Matric) in first division from BSEB Patna)?,Educational qualification: (10th class (Matric) in first division from BSEB Patna),Passed 10th class (Matric) in first division from BSEB Patna?,,What is your current / highest education level?,"class- 6,7,8,9,10,11,12,graduated , ITI, Polytechnic Diploma,other(specify)",-,-
Mukhyamantri Atyant Pichhda Varg Medhavriti Yojana,Belong to Extremely Backward Class (BC-I) category,Do you belong to the following category: BC?,Belong to_Extremely Backward Class (EBC),Belong to Extremely Backward Class (BC-I) category?,,What is your social category?,SC / ST / OBC / BC / EBC / General,-,-
Mukhyamantri Bagwani Mission: Aam Vikas Yojana,Land area between 0.25 acres and 10 acres,How many acres of land does the person own?,land_owned_acres,How many acres of land do you own?,,How many acres of land do you own or not own?,-,-,-
Mukhyamantri Bagwani Mission: Aam Vikas Yojana,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Bagwani Mission: Aam Vikas Yojana,Registered on the Direct Benefit Transfer (DBT) portal,Are you registered on the Direct Benefit Transfer (DBT) portal?,dbt_registered,Are you registered on the Direct Benefit Transfer (DBT) portal?,,Are you registered on the Direct Benefit Transfer (DBT) portal?,-,-,-
Mukhyamantri Bagwani Mission: Aam Vikas Yojana,Ryot farmer,Are you a farmer?,occupation_farmer,Are you a farmer?,,occupation,Farmer,"land in Bihar(Define place of farm)?, How many acres of land do you cultivate?,Are you registered on DBT portal as a farmer?",-
Mukhyamantri Bagwani Mission: Anjeer Vikas Yojana,Agricultural land between 0.25 acres and 10 acres,How many acres of land does the person own?,land_owned_acres,How many acres of land do you own?,,How many acres of land do you own or not own?,-,-,-
Mukhyamantri Bagwani Mission: Anjeer Vikas Yojana,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Bagwani Mission: Anjeer Vikas Yojana,Ryot farmer (land-owning),Are you a farmer?,occupation_farmer,Are you a farmer?,,occupation,Farmer,"land in Bihar(Define place of farm)?, How many acres of land do you cultivate?,Are you registered on DBT portal as a farmer?",-
Mukhyamantri Bagwani Mission: Anjeer Vikas Yojana,Registered on the Direct Benefit Transfer (DBT) portal,Are you registered on the Direct Benefit Transfer (DBT) portal?,dbt_registered,Are you registered on the Direct Benefit Transfer (DBT) portal?,,Are you registered on the Direct Benefit Transfer (DBT) portal?,-,-,-
Mukhyamantri Bagwani Mission: Dragon Fruit Vikas Yojana,Land area between 0.25 acres and 10 acres,How many acres of land does the person own?,land_owned_acres,How many acres of land do you own?,,How many acres of land do you own or not own?,-,-,-
Mukhyamantri Bagwani Mission: Dragon Fruit Vikas Yojana,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Bagwani Mission: Dragon Fruit Vikas Yojana,Resident of 21 specified districts,Are you a resident of 21 Specified Districts?,Resident of specified districts,Resident of 21 specified districts?,,Which district do you currently live in?,-,-,-
Mukhyamantri Bagwani Mission: Dragon Fruit Vikas Yojana,Registered on the Direct Benefit Transfer (DBT) portal,Are you registered on the Direct Benefit Transfer (DBT) portal?,dbt_registered,Are you registered on the Direct Benefit Transfer (DBT) portal?,,Are you registered on the Direct Benefit Transfer (DBT) portal?,-,-,-
Mukhyamantri Bagwani Mission: Dragon Fruit Vikas Yojana,Ryot farmer,Are you a farmer?,occupation_farmer,Are you a farmer?,,occupation,Farmer,"land in Bihar(Define place of farm)?, How many acres of land do you cultivate?,Are you registered on DBT portal as a farmer?",-
Mukhyamantri Bagwani Mission: Kela Vikas Yojana,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Bagwani Mission: Kela Vikas Yojana,"Resident of specific districts (Arwal, Bhojpur, Buxar, etc.)","Are you a resident of Specific Districts (Arwal, Bhojpur, Buxar, Etc.)?","Resident of districts (Arwal, Bhojpur, Buxar, etc.)","Resident of specific districts (Arwal, Bhojpur, Buxar, etc.)?",,Which district do you currently live in?,-,-,-
Mukhyamantri Bagwani Mission: Kela Vikas Yojana,Registered on the Direct Benefit Transfer (DBT) portal,Are you registered on the Direct Benefit Transfer (DBT) portal?,dbt_registered,Are you registered on the Direct Benefit Transfer (DBT) portal?,,Are you registered on the Direct Benefit Transfer (DBT) portal?,-,-,-
Mukhyamantri Bagwani Mission: Kela Vikas Yojana,Must be a farmer,Are you a farmer?,occupation_farmer,Are you a farmer?,,occupation,Farmer,"land in Bihar(Define place of farm)?, How many acres of land do you cultivate?,Are you registered on DBT portal as a farmer?",-
Mukhyamantri Bagwani Mission: Kela Vikas Yojana,Land ownership between 0.25 acres and 10 acres,How many acres of land does the person own?,land_owned_acres,How many acres of land do you own?,,How many acres of land do you own or not own?,-,-,-
Mukhyamantri Bagwani Mission: Strawberry Vikas Yojana,Land area between 0.25 acres and 5 acres,How many acres of land does the person own?,land_owned_acres,How many acres of land do you own?,,How many acres of land do you own or not own?,-,-,-
Mukhyamantri Bagwani Mission: Strawberry Vikas Yojana,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Bagwani Mission: Strawberry Vikas Yojana,Resident of 20 specified districts,Are you a resident of 20 Specified Districts?,Resident of specified districts,Resident of 20 specified districts?,,Which district do you currently live in?,-,-,-
Mukhyamantri Bagwani Mission: Strawberry Vikas Yojana,Registered on the Direct Benefit Transfer (DBT) portal,Are you registered on the Direct Benefit Transfer (DBT) portal?,dbt_registered,Are you registered on the Direct Benefit Transfer (DBT) portal?,,Are you registered on the Direct Benefit Transfer (DBT) portal?,-,-,-
Mukhyamantri Bagwani Mission: Strawberry Vikas Yojana,Farmer,Are you a farmer?,occupation_farmer,Are you a farmer?,,occupation,Farmer,"land in Bihar(Define place of farm)?, How many acres of land do you cultivate?,Are you registered on DBT portal as a farmer?",-
Mukhyamantri Balika (Snatak) Protsahan Yojana,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Balika (Snatak) Protsahan Yojana,Girl student,Are you girl student?,Occupation - Student (Girl or Boy),Girl student?,,occupation,Student,-,-
Mukhyamantri Balika (Snatak) Protsahan Yojana,"Graduated after April 25, 2018 from recognized institution in Bihar","Are you graduated after April 25, 2018 from recognized institution in Bihar?","Education_Graduated after April 25, 2018 from recognized institution in Bihar","Graduated after April 25, 2018 from recognized institution in Bihar?",,What is your current / highest education level?,"class- 6,7,8,9,10,11,12,graduated , ITI, Polytechnic Diploma,other(specify)",-,-
Mukhyamantri Balika (Snatak) Protsahan Yojana,Bank account in Bihar,Are you bank account in Bihar?,Bank account,Bank account in Bihar?,,Bank account?,Is this linked with aadhar,-,-
Mukhyamantri Balika Cycle Yojna,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Balika Cycle Yojna,Girl student,Are you girl student?,Occupation - Student (Girl or Boy),Girl student?,,occupation,Student,-,-
Mukhyamantri Balika Cycle Yojna,Enrolled in government or government-recognized secondary school,Are you enrolled in government or government-recognized secondary school?,Enrolled in School / Institution (government or government-recognized secondary school),Enrolled in government or government-recognized secondary school?,,occupation,student,Where is the currently enrolled / studying?,"Anganwadi centre (pre-school),Government school,Government-recognized private school,Government secondary school,Government-recognized secondary school,Government college / institute,Government-recognized college / institute,other"
Mukhyamantri Balika Cycle Yojna,Completed Class VIII and transitioning to Class IX or higher,Have you completed Class VIII and are you transitioning to Class IX or a higher class?,Educational qualification: (Completed Class VIII and transitioning to Class IX or higher),Completed Class VIII and transitioning to Class IX or higher?,,What is your current / highest education level?,"class- 6,7,8,9,10,11,12,graduated , ITI, Polytechnic Diploma,other(specify)",-,-
Mukhyamantri Balika Protsahan Yojana (Intermediate Pass),Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Balika Protsahan Yojana (Intermediate Pass),Unmarried girl,Are you unmarried girl?,marital_status,What is your marital status?,,What is your current marital status?,"Unmarried, Married,Divorced,Widowed,Abandoned / separated,remarried,inter-caste marriage,marriage registered, husband mentally handicapped",-,-
Mukhyamantri Balika Protsahan Yojana (Intermediate Pass),Passed intermediate examination from a recognized institution in Bihar,Have you passed at least one of the following qualifications: Intermediate?,Educational qualification: (intermediate examination from a recognized institution in Bihar),Passed intermediate examination from a recognized institution in Bihar?,,What is your current / highest education level?,Institution of passed?,-,-
Mukhyamantri Balika Protsahan Yojana (Intermediate Pass),Examination conducted in 2021 or later,Are you examination conducted in 2021 or later?,Educational qualification: passing year,Examination conducted in 2021 or later?,,What is your current / highest education level?,Institution of passed?,Year of passing?,-
Mukhyamantri Balika Protsahan Yojana (Matriculation),Resident of the state,Are you a resident of The State?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Balika Protsahan Yojana (Matriculation),Girl student,Are you girl student?,Occupation - Student (Girl or Boy),Girl student?,,occupation,Student,-,-
Mukhyamantri Balika Protsahan Yojana (Matriculation),Secured first division in matriculation examination,Are you secured first division in matriculation examination?,Educational qualification: (Child passed 10th or 12th from a Bihar board with 60% or above),Secured first division in matriculation examination?,,What is your current / highest education level?,"class- 6,7,8,9,10,11,12,graduated , ITI, Polytechnic Diploma,other(specify)",Marks optained in 10th and 12th,-
Mukhyamantri Divyangjan Sashaktikaran Chhatra Yojana,Reside 3km or more from place of education or work,Have you completed the required educational qualification (Reside 3km or more from place of education or work)?,Reside in- 3km or more from place of education or work,Reside 3km or more from place of education or work?,,Where do you currently live?,"Government hostel,Welfare hostel (SC/ST / OBC–EBC / Minority department),Private hostel / rented accommodation,Own house,Other",-,-
Mukhyamantri Divyangjan Sashaktikaran Chhatra Yojana,Permanent resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Divyangjan Sashaktikaran Chhatra Yojana,Locomotor-disabled student or employee,Do you have a benchmark disability (Divyangjan)?,Disabled person (Locomotor-disabled student or employee),Locomotor-disabled student or employee?,,Do you have a disability?,"Type of disability(Locomotor (difficulty in walking / movement),Visual (blindness / one eye affected),Hearing / speech,Other disability) ",-,-
Mukhyamantri Divyangjan Sashaktikaran Chhatra Yojana,"Annual family income not exceeding ₹2,00,000",Is your annual family income less than or equal to ₹2?,Family Income Annual,"Annual family income not exceeding ₹2,00,000?",,Annual family income ?,-,-,-
Mukhyamantri Divyangjan Sashaktikaran Chhatra Yojana,Age 18 years or above,Are you 18 years old or above?,Age,What is your age?,,What is your age?,-,-,-
Mukhyamantri Divyangjan Sashaktikaran Chhatra Yojana,Minimum disability of 60 percent,Do you have a benchmark disability (Divyangjan)?,Disabled person (Percentage),Minimum disability of 60 percent?,,Do you have a disability?,Disability percentage (enter number):,-,-
Mukhyamantri Gram Parivahan Yojana,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Gram Parivahan Yojana,Not benefited from a similar scheme previously,Are you not benefited from a similar scheme previously?,Other,Not benefited from a similar scheme previously?,,,-,-,-
Mukhyamantri Gram Parivahan Yojana,Belong to a rural area,Do you belong to a rural area?,Belong to_Rular Area,Belong to a rural area?,,Where do you currently live?,Do you live in a rural or urban area in Bihar?,-,-
Mukhyamantri Gramin Awas Yojana,"Belong to SC, ST, or Extremely Backward Class (EBC)","Do you belong to the following category: SC, ST, EBC?","Belong to_SC, ST or Extremely Backward Class (EBC)","Belong to SC, ST, or Extremely Backward Class (EBC)?",,What is your social category?,SC / ST / OBC / BC / EBC / General,-,-
Mukhyamantri Gramin Awas Yojana,Resident of rural area in Bihar,Are you a resident of Rural Area In Bihar?,Reside in-  rural area in Bihar,Resident of rural area in Bihar?,,Where do you currently live?,"Government hostel,Welfare hostel (SC/ST / OBC–EBC / Minority department),Private hostel / rented accommodation,Own house,Other",-,-
Mukhyamantri Gramin Awas Yojana,Reside in cluster housing built before January 1996,Are you reside in cluster housing built before January 1996?,Reside in- cluster housing built before January 1996,Reside in cluster housing built before January 1996?,,Where do you currently live?,House part of a cluster housing scheme built before January 1996,-,-
Mukhyamantri Gramin Awas Yojana,House is in a dilapidated condition,Is your house in a dilapidated or severely damaged condition?,Reside in- cluster housing built before January 1996 (House is in a dilapidated condition?),House is in a dilapidated condition?,,Where do you currently live?,House part of a cluster housing scheme built before January 1996,House is in a dilapidated condition?,-
Mukhyamantri Gramin Peyjal Nishchay Yojana,Resident of a rural area in Bihar,Are you a resident of A Rural Area In Bihar?,Reside in-  rural area in Bihar,Resident of a rural area in Bihar?,,Where do you currently live?,Do you live in a rural or urban area in Bihar?,-,-
Mukhyamantri Gramin Peyjal Nishchay Yojana,Household without an existing piped water supply connection,Are you household without an existing piped water supply connection?,Other - Household without an existing piped water supply connection,Household without an existing piped water supply connection?,,Does your household already have a piped water supply connection?,-,-,-
Mukhyamantri Gramin Peyjal Nishchay Yojana,Willing to contribute to operation and maintenance,Are you willing to contribute to operation and maintenance?,Other - Household without an existing piped water supply connection (Willing to contribute to operation and maintenance),Willing to contribute to operation and maintenance?,,Does your household already have a piped water supply connection?,Are you willing to contribute towards the operation and maintenance of the water supply?,-,-
Mukhyamantri Kanya Suraksha Yojana,Family belongs to Below Poverty Line (BPL) category,Does your family belong to the Below Poverty Line (BPL) category?,Belong to_Below Poverty Line (BPL) family,Family belongs to Below Poverty Line (BPL) category?,,What is your economic status?,Ultra-poor / below poverty line (BPL) / Above Poverty Line (APL),-,-
Mukhyamantri Kanya Suraksha Yojana,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Kanya Suraksha Yojana,"Girl child born on or after November 22, 2007","Are you girl child born on or after November 22, 2007?",Childern -Girl child_Date of birth,"Girl child born on or after November 22, 2007?",,How many children do you have?,"0,1,2 , 3or more",Number of girl children (with date of birth),-
Mukhyamantri Kanya Suraksha Yojana,Maximum of 2 girls per family,Are you maximum of 2 girls per family?,Children (girl or boy),Maximum of 2 girls per family?,,How many children do you have?,"0,1,2 , 3or more",Number of girl children,-
Mukhyamantri Kanya Vivah Yojana,Groom aged 21 or older,Are you groom aged 21 or older?,Age,What is your age?,,What is your age?,-,-,-
Mukhyamantri Kanya Vivah Yojana,Girl aged 18 or older at time of application,Are you girl aged 18 or older at time of application?,Age,What is your age?,,What is your age?,-,-,-
Mukhyamantri Kanya Vivah Yojana,"Family is BPL or annual income <= ₹60,000",Does your family belong to the Below Poverty Line (BPL) category?,Belong to_Below Poverty Line (BPL) family,"Family is BPL or annual income <= ₹60,000?",,What is your economic status?,Ultra-poor / below poverty line (BPL) / Above Poverty Line (APL),-,-
Mukhyamantri Kanya Vivah Yojana,Native of Bihar,Are you native of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Kanya Vivah Yojana,Marriage must be registered,Are you registered with the required authority (Marriage must be registered)?,marital_status_registered,Marriage must be registered?,,What is your current marital status?,"Unmarried, Married,Divorced,Widowed,Abandoned / separated,remarried,inter-caste marriage,marriage registered, husband mentally handicapped",-,-
Mukhyamantri Kishori Swasthya Yojna,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Kishori Swasthya Yojna,Girl student,Are you girl student?,Occupation - Student (Girl or Boy),Girl student?,,occupation,Student,-,-
Mukhyamantri Kishori Swasthya Yojna,Enrolled in a recognized secondary school,Are you enrolled in a recognized secondary school?,Enrolled in School / Institution (recognized secondary school),Enrolled in a recognized secondary school?,,occupation,student,Where is the currently enrolled / studying?,"Anganwadi centre (pre-school),Government school,Government-recognized private school,Government secondary school,Government-recognized secondary school,Government college / institute,Government-recognized college / institute,other"
Mukhyamantri Mahila Udyami Yojana,Age between 18 and 50 years,Are you age between 18 and 50 years?,Age,What is your age?,,What is your age?,-,-,-
Mukhyamantri Mahila Udyami Yojana,"Educational qualification: 10+2, ITI, or Polytechnic Diploma","Have you passed at least one of the following qualifications: 10+2, Iti, Polytechnic Diploma?","Educational qualification: (12th, ITI, or Polytechnic Diploma, other)","Educational qualification: 10+2, ITI, or Polytechnic Diploma?",,What is your current / highest education level?,"class- 6,7,8,9,10,11,12,graduated , ITI, Polytechnic Diploma,other(specify)",-,-
Mukhyamantri Mahila Udyami Yojana,Permanent resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Mahila Udyami Yojana,Female or Transgender applicant,Are you female or Transgender applicant?,Gender,What is your gender?,,What is your gender?,-,-,-
Mukhyamantri Mahila Udyami Yojana,Business unit must be a proprietorship or partnership firm,Are you business unit must be a proprietorship or partnership firm?,Occupation - Business - proprietorship or partnership,Business unit must be a proprietorship or partnership firm?,,occupation,Business,"Business type - Proprietorship, Partnership",-
Mukhyamantri Nijee Nalkup Yojana,Minimum 0.40 acre of land ownership,How many acres of land does the person own?,land_owned_acres,How many acres of land do you own?,,How many acres of land do you own or not own?,-,-,-
Mukhyamantri Nijee Nalkup Yojana,No existing borewell at the site,Are you no existing borewell at the site?,Other - Borewell ,No existing borewell at the site?,,occupation,Farmer,Are you applying for a new borewell at your land/site? ,Is there already a borewell at this site? Have you received any grant earlier for a borewell? What is the proposed depth of the borewell (in metres)?
Mukhyamantri Nijee Nalkup Yojana,No previous grants for borewell at same site,Are you no previous grants for borewell at same site?,Other - Borewell ,No previous grants for borewell at same site?,,occupation,Farmer,Are you applying for a new borewell at your land/site? ,Is there already a borewell at this site? Have you received any grant earlier for a borewell? What is the proposed depth of the borewell (in metres)?
Mukhyamantri Nijee Nalkup Yojana,Borewell depth 15-70 meters,Are you borewell depth 15-70 meters?,Other - Borewell ,Borewell depth 15-70 meters?,,occupation,Farmer,-,-
Mukhyamantri Nijee Nalkup Yojana,Farmer identified under Saat Nischay-2,Are you a farmer?,occupation_farmer,Are you a farmer?,,occupation,Farmer,"land in Bihar(Define place of farm)?, How many acres of land do you cultivate?,Are you registered on DBT portal as a farmer?",-
Mukhyamantri Nischay Swayam Sahayata Bhatta Yojna,Age between 20 and 25 years,Are you age between 20 and 25 years?,Age,What is your age?,,What is your age?,-,-,-
Mukhyamantri Nischay Swayam Sahayata Bhatta Yojna,Unemployed resident of Bihar district,Are you a resident of Bihar District?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Nischay Swayam Sahayata Bhatta Yojna,"Not receiving any other allowance, scholarship, or student credit card","Does the following apply to you: Not receiving any other allowance, scholarship, or student credit card?",other,"Not receiving any other allowance, scholarship, or student credit card?",,,-,-,-
Mukhyamantri Nischay Swayam Sahayata Bhatta Yojna,Not self-employed or in government/non-government employment,Are you not self-employed or in government/non-government employment?,"occupation_Employment - Governement/PSU, self employed or other",Not self-employed or in government/non-government employment?,,occupation,employment ,"Government / PSU employee,Semi-government employee,Private sector employee,Self-employed, retired government officer)",-
Mukhyamantri Nischay Swayam Sahayata Bhatta Yojna,Must undergo training in language communication and basic computer knowledge,Are you must undergo training in language communication and basic computer knowledge?,Educational qualification: training in language communication and basic computer knowledge,Must undergo training in language communication and basic computer knowledge?,,What is your current / highest education level?,Must undergo training in language communication and basic computer knowledge?,-,-
Mukhyamantri Nischay Swayam Sahayata Bhatta Yojna,Passed 12th (Inter) but not received higher education,Have you passed at least one of the following qualifications: 12Th?,Educational qualification: (12th (Inter) but not received higher education),Passed 12th (Inter) but not received higher education?,,What is your current / highest education level?,"class- 6,7,8,9,10,11,12,graduated , ITI, Polytechnic Diploma,other(specify)",-,-
Mukhyamantri Pichhda Varg Evam Ati Pichhda Varg Kaushal Vikas Prashikshan Yojana,Age between 18 and 45 years,Are you age between 18 and 45 years?,Age,What is your age?,,What is your age?,-,-,-
Mukhyamantri Pichhda Varg Evam Ati Pichhda Varg Kaushal Vikas Prashikshan Yojana,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Mukhyamantri Pichhda Varg Evam Ati Pichhda Varg Kaushal Vikas Prashikshan Yojana,Possess Aadhaar number,Are you possess Aadhaar number?,Aadhaar number,Possess Aadhaar number?,,Possess Aadhaar number?,-,-,-
Mukhyamantri Pichhda Varg Evam Ati Pichhda Varg Kaushal Vikas Prashikshan Yojana,Belong to Backward Class or Extremely Backward Class,"Do you belong to the following category: OBC, EBC?",Belong to_Backward Class (BC) or Extremely Backward Class (EBC),Belong to Backward Class or Extremely Backward Class?,,What is your social category?,SC / ST / OBC / BC / EBC / General,-,-
Mukhyamantri Prakhand Parivahan Yojana,Resident of the block where applying,Are you a resident of The Block Where Applying?,Resident of block where applying,Resident of the block where applying?,,Which block do you currently live in?,-,-,-
Mukhyamantri Prakhand Parivahan Yojana,Age 18 years or older,Are you 18 years old or above?,Age,What is your age?,,What is your age?,-,-,-
Mukhyamantri Prakhand Parivahan Yojana,Must have a driving license,Are you must have a driving license?,Driving license,Must have a driving license?,,Driving license?,-,-,-
Mukhyamantri Prakhand Parivahan Yojana,Not employed in government service,Does the following apply to you: Not employed in government service?,occupation_Employment - Governement/PSU or other,Not employed in government service?,,occupation,employment ,"Government / PSU employee,Semi-government employee,Private sector employee,Self-employed, retired government officer)",-
Mukhyamantri Prakhand Parivahan Yojana,"Belong to SC, ST, EBC, BC, Minority, or General category","Do you belong to the following category: SC, ST, EBC, BC, MINORITY, GENERAL?","Belong to_(SC, ST, EBC, BC, Minority, or General category)","Belong to SC, ST, EBC, BC, Minority, or General category?",,What is your social category?,SC / ST / OBC / BC / EBC / General,-,-
Mukhyamantri Samekit Chaur Vikas Yojana,"Individual, family, group, or entrepreneur","Is your application/group formed as required: Individual, family, group, or entrepreneur?",Other ,"Individual, family, group, or entrepreneur?",,,-,-,-
Mukhyamantri Samekit Chaur Vikas Yojana,Individual/family max 5 hectares; Group max 20 hectares,Is your application/group formed as required: Individual/family max 5 hectares; Group max 20 hectares?,Other - Individual/family max 5 hectares; Group max 20 hectares,Individual/family max 5 hectares; Group max 20 hectares?,,How many acres of land do you own or not own?,-,-,-
